frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
95,3.0,[2300.2109470311234 5.512133494555542 3878.999830793364 1582.41417749026],[2984.90673828125 1242.8533935546875 3755.417724609375 1468.080810546875],0.7212953567504883,PIH-611,0.6702709880254081
96,3.0,[2336.1842768615115 6.8506791997413075 3880.9050622274553 1587.0654277582441],[3029.0126953125 1245.363037109375 3803.770751953125 1477.2352294921875],0.7367194890975952,PIH-611,0.8697609949393214
96,1.0,[668.1545300773566 106.13382257769547 2162.6902236145424 1161.2496315510266],[960.9173583984375 915.0177612304688 1366.263427734375 1059.7435302734375],0.6756830215454102,EIACU-805,0.5821593286239025
97,3.0,[2375.8874652410923 10.243488889512037 3883.5055396023618 1597.88289330066],[3091.082763671875 1255.09326171875 3833.092041015625 1502.8873291015625],0.7584936022758484,PIH-611,0.6849825787313617
98,3.0,[2417.952294680465 15.751325609005676 3886.117721180795 1614.8668956475785],[3147.447509765625 1266.5406494140625 3832.070068359375 1510.9852294921875],0.7532746195793152,PIH-611,0.8659845557245379
98,1.0,[739.9622042726833 109.76138092875294 2223.834182558388 1170.8140717829729],[1030.6846923828125 918.281982421875 1444.6964111328125 1067.253662109375],0.6872010827064514,EIACU-805,0.7291562607674626
99,1.0,[775.9543172939061 110.64874240252925 2253.638883688781 1175.6667465129965],[1060.3675537109375 919.2566528320312 1486.927734375 1083.7274169921875],0.7003860473632812,GIACU-805,0.5754858791588614
100,1.0,[816.9191243513056 113.52047148292786 2289.5071277882957 1181.6644647510132],[1098.9085693359375 921.2279663085938 1510.97900390625 1078.37451171875],0.6938361525535583,EIACU-805,0.4309815161628668
101,1.0,[848.328900100044 113.3009462019229 2315.1247027218833 1182.4549717782302],[1134.1435546875 925.645751953125 1548.6405029296875 1081.1434326171875],0.6858660578727722,EIACU-805,0.4353916883438066
102,1.0,[875.3775135061401 113.4701714970713 2336.9334480902053 1186.6263763238344],[1155.5069580078125 928.3963623046875 1572.0308837890625 1083.8162841796875],0.7036401629447937,EIACU-805,0.5204495461515501
103,1.0,[900.4031674421623 111.74033709137973 2360.938468460787 1189.022742144909],[1184.246826171875 932.68603515625 1592.4818115234375 1076.9300537109375],0.6604483127593994,EIACU-805,0.6526605973385341
104,1.0,[932.761884253107 111.63982729564691 2388.4989803570716 1191.5955669443342],[1209.175048828125 929.730712890625 1628.290283203125 1085.958251953125],0.7076365947723389,BIACU-805,0.39826903695973764
